     LON     LAT   DEPTH     MAG    PHUSD   NO_ST   MIND     GAP     RMS     SEH     SEZ  YYYY MM DD HH MN SEC
  56.239  27.596    15.7     3.4      99      99    99.0     360   0.480     4.0     2.8  2021 12 13 16 35 53.50
  56.159  27.544    15.7     2.7      99      99    99.0     360   0.352     3.3     2.6  2021 12 13 22 39 27.03
  56.127  27.595    16.1     4.0      99      99    99.0     360   0.284     2.9     2.7  2021 12 14 15 34 53.81
  56.206  27.585    15.1     2.9      99      99    99.0     360   0.293     3.4     2.7  2021 12 14 20 38 38.24
  56.225  27.592    11.3     3.6      99      99    99.0     360   0.362     2.8     2.8  2021 12 15 00 55 12.66
  56.214  27.598     8.9     2.8      99      99    99.0     360   0.489     3.3     3.0  2021 12 16 21 24 41.52
  56.185  27.579    12.3     2.9      99      99    99.0     360   0.220     2.8     2.1  2021 12 17 03 13 37.85
  56.240  27.522    26.4     3.4      99      99    99.0     360   0.567     6.3     3.7  2021 12 19 14 32 02.16
  56.240  27.573    19.3     4.6      99      99    99.0     360   0.353     2.9     2.1  2021 12 21 16 36 12.21
  56.246  27.575    16.8     3.2      99      99    99.0     360   0.307     2.6     2.2  2021 12 21 18 55 08.66
  56.222  27.574    11.7     2.9      99      99    99.0     360   0.455     3.9     2.8  2021 12 23 15 47 23.32
  56.226  27.506    11.7     2.9      99      99    99.0     360   0.259     5.6     3.5  2021 12 26 09 35 30.87
  56.182  27.601     7.7     2.7      99      99    99.0     360   0.288     4.0     3.0  2021 12 27 05 39 34.10
  56.260  27.638    12.3     3.2      99      99    99.0     360   0.420     2.9     2.4  2021 12 27 07 03 40.11
  56.264  27.591    17.2     5.0      99      99    99.0     360   0.367     2.8     2.2  2021 12 27 07 31 56.14
  56.164  27.621    12.1     3.3      99      99    99.0     360   0.297     3.6     2.7  2021 12 28 04 39 08.41
  55.985  27.510     8.4     3.4      99      99    99.0     360   0.377     6.8     5.4  2022 01 03 21 03 19.55
  56.195  27.567    12.8     2.9      99      99    99.0     360   0.324     4.4     3.6  2022 01 06 15 03 52.21
  56.238  27.464     8.9     2.9      99      99    99.0     360   0.361     7.7     4.6  2022 01 08 01 14 01.55
  56.312  27.525    26.8     3.3      99      99    99.0     360   0.219     3.3     2.6  2022 01 08 04 45 39.42
  56.226  27.630     6.4     3.2      99      99    99.0     360   0.352     3.3     2.7  2022 01 08 16 23 43.04
  56.189  27.677     1.3     3.1      99      99    99.0     360   0.633     9.1     3.8  2022 01 17 21 50 06.87
  56.266  27.548    13.3     2.9      99      99    99.0     360   0.359     6.1     4.8  2022 01 20 15 23 07.53
  56.156  27.571     9.1     2.5      99      99    99.0     360   0.307     3.5     2.4  2022 01 25 18 57 29.67
  56.141  27.592     5.1     2.6      99      99    99.0     360   0.351     5.4     4.8  2022 01 25 19 11 09.33
  56.097  27.578     6.3     2.9      99      99    99.0     360   0.359     6.2     5.0  2022 01 25 19 13 44.42
  56.221  27.646    15.5     3.4      99      99    99.0     360   0.404     3.7     3.2  2022 02 02 09 33 30.85
  56.170  27.435    18.8     2.7      99      99    99.0     360   0.344     4.1     2.6  2022 02 02 13 17 28.89
  56.202  27.532    17.5     3.5      99      99    99.0     360   0.309     3.2     2.5  2022 02 03 05 24 00.74
